v1	Id(M1)
Step Information: X=0  (Run: 1/21)
3.300000000000001e-001	1.854482e-008
3.400000000000001e-001	1.871952e-008
3.500000000000001e-001	1.889537e-008
3.600000000000002e-001	1.907242e-008
3.700000000000002e-001	1.925069e-008
3.800000000000002e-001	1.943021e-008
3.900000000000002e-001	1.961101e-008
4.000000000000002e-001	1.979313e-008
4.100000000000002e-001	1.997658e-008
4.200000000000002e-001	2.016138e-008
4.300000000000002e-001	2.034756e-008
4.400000000000002e-001	2.053515e-008
4.500000000000002e-001	2.072415e-008
4.600000000000002e-001	2.091459e-008
4.700000000000003e-001	2.110648e-008
4.800000000000003e-001	2.129985e-008
4.900000000000003e-001	2.149471e-008
5.000000000000002e-001	2.169108e-008
5.100000000000002e-001	2.188897e-008
5.200000000000002e-001	2.208840e-008
5.300000000000003e-001	2.228937e-008
